03/16-09:29:42.290000  [**] [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.202.83:57248 -> 192.168.206.44:1433
03/16-09:29:42.330000  [**] [1:402:7] ICMP Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.96 -> 192.168.25.152
03/16-09:29:42.810000  [**] [1:2101334:7] GPL EXPLOIT echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3833 -> 192.168.24.253:80
03/16-09:29:42.810000  [**] [1:1334:5] WEB-ATTACKS echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3833 -> 192.168.24.253:80
03/16-09:29:42.980000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.110:50381 -> 192.168.22.102:22
03/16-09:29:43.280000  [**] [1:402:7] ICMP Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.110
03/16-09:29:43.290000  [**] [1:2003310:3] ET P2P Edonkey Publicize File [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 192.168.202.110:45839 -> 192.168.22.1:5768
03/16-09:29:43.450000  [**] [1:388:5] ICMP Address Mask Request [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.110 -> 192.168.22.1
03/16-09:29:43.690000  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} fe80::4c3a:e571:4cfc:b70c:55060 -> ff02::c:1900
03/16-09:29:44.360000  [**] [1:2101390:8] GPL SHELLCODE x86 inc ebx NOOP [**] [Classification: Executable Code was Detected] [Priority: 1] {TCP} 192.168.202.102:3834 -> 192.168.22.152:80
03/16-09:29:44.360000  [**] [1:2101390:8] GPL SHELLCODE x86 inc ebx NOOP [**] [Classification: Executable Code was Detected] [Priority: 1] {TCP} 192.168.202.102:3834 -> 192.168.22.152:80
03/16-09:29:44.590000  [**] [1:2101411:12] GPL SNMP public access udp [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.202.89:58332 -> 10.20.250.49:161
03/16-09:29:44.590000  [**] [1:1411:10] SNMP public access udp [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.202.89:58332 -> 10.20.250.49:161
